"c#", 80
"asp.net", 29
"html", 97
"jquery", 76
"entity-framework", 3
"ruby", 32
"nosql", 7
"riak", 2
"erlang", 2
"c++", 72
"linux", 43
"unix-programming", 1
"python", 76
"ace", 1
"gadgetfreak", 1
"css2", 1
"css", 77
"cocoa-touch", 3
"objective-c", 22
"ios5", 1
"iphone", 7
"ipad", 5
"automation", 3
"mobile", 8
"windows-phone-7.1", 1
"silverlight", 5
"h.264", 1
"rake", 1
"selenium", 6
"jmeter", 1
"php5", 4
"zend-framework", 2
"sysadmin", 19
"unix", 10
"perl", 14
"apache", 5
"mysql", 43
"redhat", 3
"django", 16
"cassandra", 3
"postgres", 2
"yui", 3
"business", 1
"architect", 3
"software", 1
"development", 1
"olap", 2
"java", 112
"sql", 40
"maven", 2
"continuous-integration", 4
"agile", 17
"dashboard", 1
"database", 4
"reporting", 1
"crm", 4
"artistic", 1
"ruby-on-rails", 44
"startup", 1
"real-time", 1
"high-availability", 2
"scala", 10
"ios", 28
"apple", 1
"android", 21
"froyo", 1
"gingerbread", 1
"honeycomb", 1
"oocss", 1
"vb.net", 6
"wcf", 7
"wpf", 9
"php", 61
"mongodb", 14
"tdd", 13
"javascript", 117
"technology", 1
"director", 1
"marketing", 1
"web-development", 11
"box-model", 1
"dom", 2
"node.js", 6
"java-ee", 9
"vbscript", 2
"asp-classic", 1
"c", 19
"groovy", 7
"kerberos", 1
"spnego", 1
"t-sql", 1
"pl-sql", 1
"extreme-programming", 1
"sql-server-2008", 4
"struts", 1
"eclipse", 4
"windows", 6
"platform", 1
"microsoft", 1
"server", 2
"visualization", 1
"analytics", 3
"svg", 1
"batch", 1
"powershell", 2
"winpe", 1
"architecture", 3
"messaging", 1
"functional-programming", 2
"memcached", 4
"nginx", 2
"ajax", 19
"coffeescript", 4
"backbone.js", 2
".net", 32
"devops", 1
"cloud", 3
"mvc", 12
"scriptaculous", 1
"asp.net-mvc", 7
"knockoutjs", 2
"jsp", 4
"jboss", 2
"git", 8
"sql-server", 17
"ssis-data-transformations", 1
"clustering", 1
"gui", 5
"winforms", 2
"sphinx", 1
"stl", 1
"com", 1
"hadoop", 9
"solr", 4
"rdbms", 1
"tcp", 2
"uml", 2
"magento", 1
"dojo", 3
"esri", 2
"user", 1
"design", 3
"information-architecture", 1
"ux", 2
"web-applications", 6
"lift", 1
"extjs", 1
